Wavelength (nm),% Transmission
1610,94.538992
1611,94.536344
1612,94.54128
1613,94.538087
1614,94.547708
1615,94.554118
1616,94.555863
1617,94.566368
1618,94.573068
1619,94.570977
1620,94.560366
1621,94.55314
1622,94.568589
1623,94.563408
1624,94.545392
1625,94.552903
1626,94.565488
1627,94.569735
1628,94.562899
1629,94.551888
1630,94.539045
1631,94.538781
1632,94.541532
1633,94.547902
1634,94.554417
1635,94.562248
1636,94.571625
1637,94.578754
1638,94.578771
1639,94.574298
1640,94.550896
1641,94.53743
1642,94.553124
1643,94.564924
1644,94.568387
1645,94.56983
1646,94.565343
1647,94.575078
1648,94.588223
1649,94.575395
1650,94.566082
1651,94.562298
1652,94.565296
1653,94.563164
1654,94.563082
1655,94.558122
1656,94.564889
1657,94.566695
1658,94.555866
1659,94.563078
1660,94.571845
1661,94.573083
1662,94.561682
1663,94.552412
1664,94.547232
1665,94.548394
1666,94.553307
1667,94.562079
1668,94.567381
1669,94.572567
1670,94.568299
1671,94.559557
1672,94.558309
1673,94.556659
1674,94.566465
1675,94.568972
1676,94.567424
1677,94.569365
1678,94.55755
1679,94.549594
1680,94.551807
1681,94.551345
1682,94.550661
1683,94.56749
1684,94.564185
1685,94.566419
1686,94.576769
1687,94.574679
1688,94.571685
1689,94.57052
1690,94.559898
1691,94.552313
1692,94.557888
1693,94.548193
1694,94.575023
1695,94.570689
1696,94.562532
1697,94.573562
1698,94.561327
1699,94.547724
1700,94.564174
1701,94.581332
1702,94.575093
1703,94.574873
1704,94.577355
1705,94.577432
1706,94.5755
1707,94.579071
1708,94.591102
1709,94.591706
1710,94.551444
1711,94.548374
1712,94.554873
1713,94.558488
1714,94.562019
1715,94.555176
1716,94.556527
1717,94.546066
1718,94.543661
1719,94.550964
1720,94.554612
1721,94.562296
1722,94.535043
1723,94.543759
1724,94.537648
1725,94.541033
1726,94.557753
1727,94.538896
1728,94.528368
1729,94.52875
1730,94.531998
1731,94.535787
1732,94.539994
1733,94.532721
1734,94.548967
1735,94.502774
1736,94.508443
1737,94.542519
1738,94.532699
1739,94.52644
1740,94.538877
1741,94.530741
1742,94.553245
1743,94.563214
1744,94.555574
1745,94.540766
1746,94.543359
1747,94.541731
1748,94.525329
1749,94.531676
1750,94.564664
1751,94.54174
1752,94.527204
1753,94.550773
1754,94.547261
1755,94.54252
1756,94.53215
1757,94.538277
1758,94.530024
1759,94.533347
1760,94.536939
1761,94.548668
1762,94.525489
1763,94.532024
1764,94.526414
1765,94.543545
1766,94.531308
1767,94.519872
1768,94.526768
1769,94.512473
1770,94.506359
1771,94.515599
1772,94.531116
1773,94.538727
1774,94.512832
1775,94.514272
1776,94.50669
1777,94.512232
1778,94.503521
1779,94.484029
1780,94.52309
1781,94.520906
1782,94.513814
1783,94.508256
1784,94.52472
1785,94.537597
1786,94.541522
1787,94.530633
1788,94.509438
1789,94.512218
1790,94.519665
1791,94.532243
1792,94.50801
1793,94.499739
1794,94.50021
1795,94.483511
1796,94.519719
1797,94.524882
1798,94.510994
1799,94.511057
1800,94.516376
1801,94.49214
1802,94.507231
1803,94.491356
1804,94.501569
1805,94.48026
1806,94.491349
1807,94.502341
1808,94.497732
1809,94.458847
1810,94.470913
1811,94.460845
1812,94.454233
1813,94.465227
1814,94.467018
1815,94.452436
1816,94.475754
1817,94.445201
1818,94.458023
1819,94.474691
1820,94.44598
1821,94.448505
1822,94.446148
1823,94.412515
1824,94.415552
1825,94.427305
1826,94.457243
1827,94.428574
1828,94.455756
1829,94.456658
1830,94.471876
1831,94.38174
1832,94.341857
1833,94.404134
1834,94.394294
1835,94.422177
1836,94.40034
1837,94.410881
1838,94.370822
1839,94.432081
1840,94.387336
1841,94.437018
1842,94.423702
1843,94.365918
1844,94.353485
1845,94.36903
1846,94.283615
1847,94.383247
1848,94.380998
1849,94.36307
1850,94.360289
1851,94.339381
1852,94.352741
1853,94.358534
1854,94.350273
1855,94.336646
1856,94.343229
1857,94.338208
1858,94.348581
1859,94.309271
1860,94.345327
1861,94.340131
1862,94.345751
1863,94.362002
1864,94.336654
1865,94.290894
1866,94.334494
1867,94.316447
1868,94.288814
1869,94.288387
1870,94.293063
1871,94.283965
1872,94.296878
1873,94.298049
1874,94.30574
1875,94.300012
1876,94.298545
1877,94.2912
1878,94.311066
1879,94.218418
1880,94.294693
1881,94.266998
1882,94.264823
1883,94.247848
1884,94.242575
1885,94.2194
1886,94.181233
1887,94.220098
1888,94.21337
1889,94.219429
1890,94.205233
1891,94.198261
1892,94.231926
1893,94.221248
1894,94.190961
1895,94.158992
1896,94.217976
1897,94.208502
1898,94.22867
1899,94.189551
1900,94.149721
1901,94.148754
1902,94.181223
1903,94.173317
1904,94.196412
1905,94.202112
1906,94.20771
1907,94.191412
1908,94.212846
1909,94.177322
1910,94.161509
1911,94.208238
1912,94.187869
1913,94.215218
1914,94.223229
1915,94.214416
1916,94.218202
1917,94.190036
1918,94.170514
1919,94.174078
1920,94.206607
1921,94.195779
1922,94.200266
1923,94.200782
1924,94.212153
1925,94.195871
1926,94.206044
1927,94.222258
1928,94.204388
1929,94.200044
1930,94.23275
1931,94.241343
1932,94.258145
1933,94.249075
1934,94.225041
1935,94.251039
1936,94.262457
1937,94.238774
1938,94.254041
1939,94.253018
1940,94.23821
1941,94.250096
1942,94.208419
1943,94.231785
1944,94.249625
1945,94.246381
1946,94.244581
1947,94.246163
1948,94.246033
1949,94.265371
1950,94.253534
1951,94.276778
1952,94.273076
1953,94.284817
1954,94.282331
1955,94.27295
1956,94.264758
1957,94.254986
1958,94.263474
1959,94.257511
1960,94.261458
1961,94.285726
1962,94.299578
1963,94.275088
1964,94.27137
1965,94.294507
1966,94.283724
1967,94.296847
1968,94.306444
1969,94.290463
1970,94.289173
1971,94.281664
1972,94.264076
1973,94.25033
1974,94.255151
1975,94.264099
1976,94.264927
1977,94.253583
1978,94.25344
1979,94.280681
1980,94.283984
1981,94.285771
1982,94.272702
1983,94.256397
1984,94.273052
1985,94.275653
1986,94.2628
1987,94.254552
1988,94.244831
1989,94.237919
1990,94.260586
1991,94.25304
1992,94.238893
1993,94.224779
1994,94.223328
1995,94.220986
1996,94.212195
1997,94.193513
1998,94.191822
1999,94.195558
2000,94.189262
2001,94.175378
2002,94.151421
2003,94.138298
2004,94.135124
2005,94.131908
2006,94.132794
2007,94.129144
2008,94.10659
2009,94.106478
2010,94.105345
2011,94.083148
2012,94.05263
2013,94.026177
2014,94.009552
2015,94.005232
2016,94.006777
2017,93.979497
2018,93.93227
2019,93.913532
2020,93.885202
2021,93.882139
2022,93.876853
2023,93.850017
2024,93.839477
2025,93.807324
2026,93.783018
2027,93.771061
2028,93.743348
2029,93.716208
2030,93.70382
2031,93.680701
2032,93.652637
2033,93.620618
2034,93.595061
2035,93.573032
2036,93.54505
2037,93.510622
2038,93.490134
2039,93.488893
2040,93.477851
2041,93.468154
2042,93.434629
2043,93.410664
