# SO2 Absorption Cross section
# Source: Rufus et al. 2009 (JGR)
# Temp: 298K
# Wavelength (nm), Cross-section
3.259424995853506175e+02 -2.026399999999999981e-21
3.259419683936511092e+02 -1.087770000000000046e-20
3.259414372036830514e+02 -5.240300000000000264e-21
3.259409166391940289e+02 -3.964999999999999672e-21
3.259403854526540272e+02 -7.211799999999999780e-21
3.259398648915245644e+02 -6.524100000000000266e-21
3.259393337084126188e+02 -1.537849999999999943e-20
3.259388025270319531e+02 -1.010089999999999944e-20
3.259382819709586556e+02 -9.783400000000000037e-21
3.259377507930060460e+02 -1.515530000000000035e-20
3.259372302402921946e+02 9.454000000000000254e-22
3.259366990657675842e+02 3.042999999999999999e-21
3.259361678929741970e+02 3.229400000000000135e-21
3.259356473453164540e+02 6.169600000000000023e-21
3.259351161759510092e+02 -6.109000000000000137e-22
3.259345956316525985e+02 -1.828199999999999850e-21
3.259340644657150392e+02 -1.139920000000000074e-20
3.259335333015087599e+02 -7.359199999999999329e-21
3.259330127622662872e+02 2.939499999999999843e-21
3.259324816014878934e+02 -5.439999999999999738e-21
3.259319610656046393e+02 -2.586100000000000046e-21
3.259314299082540174e+02 8.759999999999999589e-23
3.259309093757300388e+02 -6.890300000000000121e-21
3.259303782218071888e+02 -4.597999999999999862e-21
3.259298470696155618e+02 4.471400000000000125e-21
3.259293265421472938e+02 4.543099999999999773e-21
3.259287953933833819e+02 -6.336400000000000047e-21
3.259282748692743326e+02 -1.490100000000000081e-21
3.259277437239381356e+02 3.137399999999999955e-21
3.259272125803331051e+02 -4.569099999999999914e-21
3.259266920612796525e+02 -3.101899999999999965e-21
3.259261609211022233e+02 -6.890300000000000121e-21
3.259256404054078757e+02 -9.687600000000000745e-21
3.259251092686580478e+02 -7.130399999999999895e-21
3.259245781336393861e+02 -1.620979999999999901e-20
3.259240576230005217e+02 -1.441619999999999984e-20
3.259235264914094046e+02 -6.124299999999999789e-21
3.259230059841295883e+02 -1.117649999999999981e-20
3.259224748559659588e+02 -1.025089999999999991e-20
3.259219437295333819e+02 -3.940400000000000372e-21
3.259214232273089351e+02 -7.565799999999999615e-21
3.259208921043039027e+02 -1.328700000000000060e-20
3.259203716054383904e+02 -8.171499999999999958e-21
3.259198404858607319e+02 -1.056599999999999916e-21
3.259193199903540972e+02 -7.601000000000000339e-21
3.259187888742039263e+02 -8.357800000000000088e-21
3.259182577597846944e+02 -3.761800000000000353e-21
3.259177372693333155e+02 -1.608909999999999852e-20
3.259172061583414575e+02 -1.231169999999999943e-20
3.259166856712488425e+02 4.212299999999999901e-21
3.259161545636843584e+02 -8.758199999999999851e-21
3.259156234578508133e+02 -1.690729999999999990e-20
3.259151029758132836e+02 2.454900000000000018e-21
3.259145718734069987e+02 6.118700000000000187e-21
3.259140513947282329e+02 -1.080620000000000007e-20
3.259135204019688103e+02 -1.150939999999999944e-20
3.259129893047203836e+02 -3.989599999999999724e-21
3.259124688310962483e+02 -7.077499999999999932e-21
3.259119377372749682e+02 -7.653699999999999536e-21
3.259114172670094831e+02 -2.136600000000000185e-21
3.259108861766154064e+02 -3.779700000000000357e-21
3.259103550879522118e+02 -1.210709999999999927e-20
3.259098346227415277e+02 -1.346269999999999931e-20
3.259093035375054797e+02 -1.174689999999999980e-20
3.259087830756533890e+02 -9.474100000000000398e-21
3.259082519938443738e+02 1.148400000000000084e-21
3.259077315353507629e+02 -2.181600000000000024e-21
3.259072004569688374e+02 -9.556899999999999620e-21
3.259066693803176804e+02 -3.571999999999999907e-22
3.259061489268788137e+02 1.609699999999999939e-21
3.259056178536546895e+02 -5.255899999999999747e-21
3.259050974035741888e+02 -1.074769999999999975e-20
3.259045663337770407e+02 -7.866700000000000228e-21
3.259040352657106610e+02 -2.258099999999999975e-21
3.259035148206847907e+02 -6.239199999999999914e-21
3.259029837560452734e+02 -8.686000000000000548e-21
3.259024633143777692e+02 -1.085170000000000032e-20
3.259019322531651710e+02 -1.936299999999999921e-21
3.259014011936832844e+02 2.542099999999999894e-21
3.259008807570702402e+02 -1.267310000000000049e-20
3.259003497010151591e+02 -1.003569999999999983e-20
3.258998292677603672e+02 -9.513299999999999869e-21
3.258992982151321485e+02 -1.194320000000000056e-20
3.258987671642346413e+02 -2.381699999999999899e-21
3.258982467360341388e+02 -9.844300000000000506e-21
3.258977156885633235e+02 -8.613799999999999740e-21
3.258971952637210734e+02 -3.515999999999999843e-21
3.258966642196770067e+02 -1.093840000000000016e-20
3.258961437981928384e+02 -5.224799999999999659e-21
3.258956127575754635e+02 3.921100000000000279e-21
3.258950817186887434e+02 5.007400000000000194e-21
3.258945613022587509e+02 -1.481100000000000076e-21
3.258940302667986657e+02 -4.907199999999999871e-21
3.258935098537267550e+02 -2.938300000000000143e-21
3.258929788216932479e+02 -3.005599999999999889e-21
3.258924477913902820e+02 3.448299999999999696e-21
3.258919273833724333e+02 3.017699999999999902e-21
3.258913963564961023e+02 -3.016799999999999845e-21
3.258908759518361649e+02 5.285999999999999771e-22
3.258903449283863551e+02 7.738900000000000415e-21
3.258898139066670296e+02 5.508099999999999910e-21
3.258892935070610974e+02 -4.706999999999999990e-21
3.258887624887681795e+02 -3.334800000000000035e-21
3.258882420925201586e+02 5.808999999999999958e-22
3.258877110776537620e+02 -6.459999999999999783e-23
3.258871800645179064e+02 -6.618999999999999878e-21
3.258866596733236065e+02 -1.848070000000000092e-20
3.258861286636141017e+02 -1.325269999999999956e-20
3.258856082757776562e+02 -8.895900000000000667e-21
3.258850772694945022e+02 -5.311399999999999874e-21
3.258845462649418323e+02 2.294300000000000010e-21
3.258840258821590510e+02 -1.026170000000000059e-20
3.258834948810326750e+02 -1.191520000000000029e-20
3.258829745016076345e+02 -3.768499999999999649e-21
3.258824435039075524e+02 -7.088499999999999876e-21
3.258819231278402526e+02 -5.721499999999999874e-21
3.258813921335663508e+02 -4.887200000000000110e-21
3.258808611410228764e+02 8.530000000000000313e-23
3.258803407700090702e+02 7.829799999999999773e-21
3.258798097808917760e+02 -1.240000000000000016e-23
3.258792894132355968e+02 -7.062099999999999710e-21
3.258787584275444829e+02 9.249000000000000445e-22
3.258782274435836825e+02 -7.852000000000000426e-22
3.258777070809808833e+02 -1.198200000000000001e-20
3.258771761004462064e+02 -2.610800000000000105e-21
3.258766557412009774e+02 1.007470000000000004e-20
3.258761247640923671e+02 6.634499999999999730e-21
3.258755937887140703e+02 -2.089399999999999831e-21
3.258750734345221076e+02 -8.928600000000000103e-21
3.258745424625698206e+02 -5.499900000000000143e-21
3.258740221117353144e+02 -5.009400000000000321e-21
3.258734911432090371e+02 -9.750700000000000600e-21
3.258729601764130166e+02 -1.072609999999999989e-20
3.258724398306316061e+02 -5.768000000000000184e-21
3.258719088672615385e+02 2.349300000000000105e-21
3.258713885248375846e+02 -5.444400000000000016e-21
3.258708575648934129e+02 -1.178580000000000038e-20
3.258703372258268018e+02 -7.800899999999999825e-21
3.258698062693084694e+02 -8.596299999999999761e-21
3.258692753145204506e+02 -2.366000000000000034e-21
3.258687549805067647e+02 7.630999999999999604e-22
3.258682240291445282e+02 -5.721499999999999874e-21
3.258677036984881283e+02 -1.012050000000000068e-20
3.258671727505516742e+02 -5.761399999999999767e-21
3.258666418043453632e+02 5.696699999999999810e-21
3.258661214787418317e+02 6.901999999999999545e-22
3.258655905359612461e+02 -9.358600000000000235e-21
3.258650702137148869e+02 -4.611300000000000327e-21
3.258645392743600269e+02 -2.062400000000000003e-21
3.258640083367353668e+02 -6.254699999999999767e-21
3.258634880195417054e+02 -7.447200000000000385e-21
3.258629570853426003e+02 -6.495400000000000330e-21
3.258624367715061112e+02 -8.510999999999999252e-21
3.258619058407326747e+02 -1.066319999999999930e-20
3.258613749116893246e+02 -7.816200000000000417e-21
3.258608546029054196e+02 2.028500000000000114e-21
3.258603236772876244e+02 8.890899999999999598e-21
3.258598033718607212e+02 2.976299999999999915e-21
3.258592724496684809e+02 -7.360000000000000320e-23
3.258587521475985795e+02 -5.498000000000000023e-22
3.258582212288318374e+02 -4.034200000000000290e-21
3.258576903117951247e+02 -2.976399999999999922e-21
3.258571700147776937e+02 2.874999999999999993e-22
3.258566391011664223e+02 8.883999999999999914e-22
3.258561188075058794e+02 -6.879200000000000547e-21
3.258555878973200493e+02 -8.642299999999999663e-21
3.258550569888642485e+02 2.291999999999999864e-21
3.258545367002559487e+02 1.907099999999999954e-21
3.258540057952255324e+02 -6.991600000000000138e-21
3.258534855099740639e+02 -4.442100000000000151e-21
3.258529546083689752e+02 5.105500000000000008e-21
3.258524237084938022e+02 5.236700000000000036e-21
3.258519034282945768e+02 -1.128899999999999978e-21
3.258513725318446745e+02 -6.407099999999999632e-21
3.258508522550021667e+02 -1.109210000000000049e-20
3.258503213619775920e+02 -7.912799999999999760e-21
3.258497904706828763e+02 -6.256899999999999906e-21
3.258492701988924409e+02 -7.308599999999999888e-21
3.258487393110228822e+02 -3.918100000000000089e-21
3.258482190425891645e+02 -5.360199999999999953e-21
3.258476881581448197e+02 -3.195999999999999902e-21
3.258471678930677058e+02 -1.029500000000000082e-21
3.258466370120485180e+02 -8.377499999999999454e-21
3.258461061327591892e+02 -1.259349999999999997e-20
3.258455858727339205e+02 -9.907400000000000362e-21
3.258450549968696919e+02 -5.617399999999999681e-21
3.258445347402010270e+02 -7.682300000000000594e-21
3.258440039739361396e+02 -9.068400000000000676e-21
3.258434731032264153e+02 -8.423399999999999726e-21
3.258429528516091409e+02 -1.084739999999999967e-20
3.258424219843244032e+02 -7.345999999999999998e-21
3.258419017360636190e+02 -1.796700000000000114e-21
3.258413708722038677e+02 -2.655699999999999937e-21
3.258408400100739186e+02 -1.185050000000000034e-20
3.258403197668647522e+02 -1.193680000000000016e-20
3.258397889081596759e+02 -1.623200000000000041e-21
3.258392686683069428e+02 -3.645599999999999770e-21
3.258387378130267393e+02 -5.792400000000000224e-21
3.258382069594763379e+02 -6.965199999999999971e-21
3.258376867246751090e+02 -1.443320000000000017e-20
3.258371558745495236e+02 -9.648399999999999768e-21
3.258366356431045574e+02 -1.255400000000000085e-21
3.258361047964037880e+02 3.298499999999999995e-21
3.258355845683151415e+02 5.218000000000000169e-22
3.258350537250391312e+02 -1.068490000000000029e-20
3.258345228834928093e+02 -1.342420000000000026e-20
3.258340026604554964e+02 -7.963199999999999940e-21
3.258334718223338768e+02 -3.723800000000000205e-21
3.258329516026527699e+02 -6.018099999999999838e-21
3.258324207679558526e+02 -1.015310000000000049e-20
3.258318899349885100e+02 -1.015739999999999963e-20
3.258313697203586230e+02 -8.024699999999999695e-21
3.258308388908159827e+02 -6.104399999999999658e-21
3.258303186795422448e+02 -5.869799999999999856e-21
3.258297878534241363e+02 -2.776900000000000085e-21
