calc_flux.py output file 
Peak number,1
Flux (Tonnes/day),228
Windspeed (m/s),10.0
Volcano Long/Lat,55.703736,-21.272972
CoM position,55.655315,-21.23115
Julian Time (GMT),SO2 Amount,Error,Longitude,Latitude,Bearing,Distance,Correction Factor,Cumulative Distance
0.39899305555555553,61.1655638108,10.4648766984,55.667951667,-21.232876667,5.17533477419,9.53703458054,-0.179657474836,-977.141230741
0.39902777777777776,59.7747337176,10.987369656199999,55.667868333,-21.232838333,5.09261122106,9.63182258528,-0.260327905583,-979.648662941
0.3990625,55.9992282834,10.4600475635,55.667765,-21.232795,5.06179109095,11.744091291,-0.289957024585,-983.053944708
0.3991087962962963,51.6749154428,9.770327812060001,55.667613333,-21.232751667,4.95570860574,16.4416692525,-0.389661873914,-989.460636359
0.39914351851851854,56.2525556719,9.94806588408,55.667496667,-21.232735,4.83588084865,12.2332410429,-0.496960127156,-995.540069384
0.39917824074074076,62.0908383805,10.1561803612,55.667416667,-21.23274,4.65813962646,8.3103533475,-0.642559067436,-1000.87996228
0.39921296296296294,61.514309671599996,9.80119753334,55.667371667,-21.23275,4.52165987173,4.79481648622,-0.740835339948,-1004.43213178
0.39924768518518516,58.482870943900004,10.4360445604,55.667325,-21.232753333,4.65041495228,4.85105716209,-0.648458762364,-1007.57784231
0.3992824074074074,54.0047946477,10.561344779199999,55.667238333,-21.232736667,4.87793753222,9.17191337644,-0.460035776656,-1011.7972506
0.3993171296296296,80.0966348505,10.5805883586,55.667133333,-21.232693333,5.05668278892,11.9019213924,-0.294842067824,-1015.30643771
0.39935185185185185,73.0050139371,10.08347999,55.667058333,-21.232646667,5.20799098441,9.34630044379,-0.147442528536,-1016.68447988
0.3993865740740741,61.7473445288,10.3363233872,55.666995,-21.23258,5.45320194586,9.90164472358,0.0970758027106,-1015.72326977
0.3994212962962963,55.8011622512,10.1164874197,55.666941667,-21.232491667,5.67588089171,11.2708375471,0.314479104177,-1012.17882688
0.39945601851851853,48.011679199899994,9.78774263925,55.666896667,-21.232381667,5.84313308735,13.0905346204,0.468118224377,-1006.05090906
0.39949074074074076,42.7131915335,10.3456634028,55.666853333,-21.232276667,5.83973452647,12.5095783534,0.465112334551,-1000.23254986
0.399525462962963,37.8777369235,10.8649614949,55.666793333,-21.232173333,5.69406044439,13.0651762987,0.33168339008,-995.899047897
0.3995601851851852,46.4120505889,10.6515254937,55.66672,-21.232075,5.57387335094,13.3164062186,0.216180078084,-993.020306161
0.3996064814814815,44.0622794858,10.795583486500002,55.666651667,-21.231961667,5.67653024729,14.4559302209,0.31509544796,-988.465308352
0.3996412037037037,39.0506553377,10.2579068467,55.666585,-21.231868333,5.59511236818,12.4681388734,0.236866550941,-985.512023301
0.39967592592592593,31.3721034504,10.977087324600001,55.666503333,-21.231771667,5.51180032491,13.681553822,0.155197429342,-983.388681318
0.39971064814814816,39.5109444209,10.986389815199999,55.666428333,-21.231693333,5.44931980957,11.6746832167,0.0932112799815,-982.300469152
0.3997453703703704,49.204539986499995,10.9114330799,55.666346667,-21.231616667,5.39660546417,12.0133551977,0.040621260569,-981.81247152
0.3997800925925926,42.991016992700004,10.951233289000001,55.666271667,-21.231556667,5.31980827746,10.2440123007,-0.0361568636729,-982.182862877
