#Wavelength (nm)	Absorption cross-section (cm2/molecule)
263.29	3.12E-19
263.30	3.11E-19
263.31	3.13E-19
263.31	3.02E-19
263.32	2.98E-19
263.33	3.03E-19
263.34	3.00E-19
263.35	3.00E-19
263.35	2.79E-19
263.36	2.86E-19
263.37	2.82E-19
263.38	2.83E-19
263.39	2.81E-19
263.40	2.87E-19
263.40	2.78E-19
263.41	2.72E-19
263.42	2.73E-19
263.43	2.79E-19
263.44	2.60E-19
263.45	2.68E-19
263.45	2.70E-19
263.46	2.64E-19
263.47	2.73E-19
263.48	2.63E-19
263.49	2.63E-19
263.49	2.62E-19
263.50	2.71E-19
263.51	2.64E-19
263.52	2.62E-19
263.53	2.65E-19
263.54	2.72E-19
263.54	2.80E-19
263.55	2.83E-19
263.56	2.88E-19
263.57	2.86E-19
263.58	2.93E-19
263.58	2.83E-19
263.59	2.84E-19
263.60	2.90E-19
263.61	2.94E-19
263.62	3.02E-19
263.63	3.10E-19
263.63	3.03E-19
263.64	3.25E-19
263.65	3.24E-19
263.66	3.44E-19
263.67	3.44E-19
263.68	3.46E-19
263.68	3.56E-19
263.69	3.81E-19
263.70	3.81E-19
263.71	3.91E-19
263.72	4.06E-19
263.72	4.07E-19
263.73	3.97E-19
263.74	4.04E-19
263.75	3.88E-19
263.76	4.06E-19
263.77	3.81E-19
263.77	3.80E-19
263.78	3.70E-19
263.79	3.76E-19
263.80	3.66E-19
263.81	3.81E-19
263.81	3.62E-19
263.82	3.62E-19
263.83	3.59E-19
263.84	3.59E-19
263.85	3.42E-19
263.86	3.52E-19
263.86	3.45E-19
263.87	3.44E-19
263.88	3.39E-19
263.89	3.36E-19
263.90	3.36E-19
263.90	3.21E-19
263.91	3.23E-19
263.92	3.36E-19
263.93	3.42E-19
263.94	3.27E-19
263.95	3.25E-19
263.95	3.34E-19
263.96	3.23E-19
263.97	3.27E-19
263.98	3.21E-19
263.99	3.20E-19
264.00	3.29E-19
264.00	3.24E-19
264.01	3.30E-19
264.02	3.16E-19
264.03	3.18E-19
264.04	3.15E-19
264.04	3.12E-19
264.05	3.17E-19
264.06	3.24E-19
264.07	3.21E-19
264.08	3.17E-19
264.09	3.22E-19
264.09	3.24E-19
264.10	3.20E-19
264.11	3.29E-19
264.12	3.29E-19
264.13	3.36E-19
264.13	3.35E-19
264.14	3.34E-19
264.15	3.46E-19
264.16	3.47E-19
264.17	3.48E-19
